阬	坑
阮	阮
阯	址
阱	穽
陋	陋
降	降
陏	隋
陔	垓
陜	陝
陝	陜
陞	升
陥	陷
陵	陵
陷	陥
険	險
陽	昜
隆	隆
隋	陏
隕	殒
隠	隱
隣	鄰
隷	隸
隸	隷
雁	鳫
雑	雜
雜	雑
雞	鷄
雠	仇
離	離
零	零
雷	雷
霊	靈
霍	癨
露	露
霸	覇
靆	叇
靈	靈
靉	叆
靑	青
青	靑
靔	靝
靖	靖
靚	靜
靝	靔
靭	韌
靱	韌
鞌	鞍
鞍	鞌
鞒	橇
韈	襪
韤	襪
韭	艽
韮	韭
韲	齏
頋	顧
頒	朌
領	領
頚	頸
頤	頉
頬	頰
頹	頽
頼	賴
頽	頹
顔	顏
顕	顯
顚	顛
類	類
顯	顕
须	須
颓	頹
颜	顏
颣	纇
飄	飃
飜	翻
食	饣
飠	食
飪	餁
飮	飲
飰	飯
飲	飮
飼	飼
餁	飪
餝	飾
餠	餅
館	館
餹	糖
餽	饋
饋	餽
饥	飢
饮	飮
馈	餽
馓	糤
馱	駄
駁	駮
駄	馱
駅	驛
駆	驅
駈	驅
駞	駝
駡	罵
駢	騈
駮	駁
駱	駱
騃	呆
騈	駢
騌	鬃
騒	騷
験	驗
騣	鬃
騨	驒
騺	驇
驇	騺
驒	騨
驩	歡
骂	罵
骔	鬃
骫	骪
骵	體
髄	髓
髌	臏
髓	膸
髕	臏
髗	臚
高	髙
髙	高
髣	仿
髦	犛
髪	髮
髯	髥
髴	彿
鬃	骔
鬥	鬬
鬦	鬥
鬨	哄
鬪	鬥
鬬	鬥
鬭	鬥
鬰	鬱
鬱	鬰
鬻	粥
魯	魯
鮮	尟
鯋	鯊
鰌	鰍
鰛	鳁
鱉	龞
鱓	鱔
鱗	鱗
鳁	鰛
鳫	雁
鳮	雞
鳯	鳳
鳳	鳯
鴈	雁
鴉	鵶
鴎	鷗
鴬	鶯
鵉	鸞
鵞	鵝
鶏	雞
鷄	雞
鷏	鷆
鷰	燕
鷺	鷺
鸡	雞
鹸	鹼
鹼	硷
鹿	鹿
麁	粗
麄	粗
麓	梺
麟	麟
麪	麵
麴	麹
麵	麺
麺	麵
麻	菻
麼	麽
麽	麼
黎	黎
黑	黒
黒	黑
默	黙
黙	默
點	奌
鼂	鼌
鼄	蛛
鼅	蜘
鼈	鱉
鼌	鼂
鼓	皼
鼕	冬
鼠	鼡
鼡	鼠
齋	斎
齏	韲
齒	歯
齡	齢
齢	齡
齧	嚙
齩	咬
龎	龐
龐	厐
龝	䆋
龢	和
豈	豈
更	更
車	車
賈	賈
滑	滑
串	串
句	句
龜	龜
龜	龜
契	契
金	金
喇	喇
奈	奈
懶	懶
癩	癩
羅	羅
蘿	蘿
螺	螺
裸	裸
邏	邏
樂	樂
洛	洛
烙	烙
珞	珞
落	落
酪	酪
駱	駱
亂	亂
卵	卵
欄	欄
爛	爛
蘭	蘭
鸞	鸞
嵐	嵐
濫	濫
藍	藍
襤	襤
拉	拉
臘	臘
蠟	蠟
廊	廊
朗	朗
浪	浪
狼	狼
郎	郎
來	來
冷	冷
勞	勞
擄	擄
櫓	櫓
爐	爐
盧	盧
老	老
蘆	蘆
虜	虜
路	路
露	露
魯	魯
鷺	鷺
碌	碌
祿	祿
綠	綠
菉	菉
錄	錄
鹿	鹿
論	論
壟	壟
弄	弄
籠	籠
聾	聾
牢	牢
磊	磊
賂	賂
雷	雷
壘	壘
屢	屢
樓	樓
淚	淚
漏	漏
累	累
縷	縷
陋	陋
勒	勒
肋	肋
凜	凜
凌	凌
稜	稜
綾	綾
菱	菱
陵	陵
讀	讀
拏	拏
樂	樂
諾	諾
丹	丹
寧	寧
怒	怒
率	率
異	異
